f,i0,i1,i2
1059,4698,106,4710
1060,380,375,6913
1061,1007,3454,3477
1062,2909,754,5179
1063,5024,6171,6583
1064,1538,1532,6895
1065,3954,3955,5709
1066,3721,3722,4535
1067,5104,2761,5107
1068,1540,1537,4631
1069,4335,2875,5830
1070,2245,1311,3982
1071,1021,3511,3515
1072,2653,626,2687
1073,899,4405,5330
1074,6292,5260,6295
1075,3568,1058,3571
1076,918,7773,7775
1077,247,241,2033
1078,6447,4515,6834
1079,2346,2434,4246
1080,6063,3815,6662
1081,483,2346,4246
1082,2338,434,2359
1083,4046,946,5366
1084,4889,199,6034
1085,6034,199,6051
1086,5629,1187,7048
1087,536,488,2524
1088,99,1701,1717
1089,2959,783,7097
1090,982,4433,6354
1091,761,2851,2855
1092,2854,761,2855
1093,5006,2587,5030
1094,606,2626,2669
1095,606,2669,2684
1096,3700,1138,3996
1097,2507,2508,6159
1098,3328,3319,5350
1099,3276,1430,3278
1100,1310,6683,6684
1101,1125,1129,3733
1102,3377,5415,6116
1103,81,68,1681
1104,1982,1983,4801
1105,642,2660,2733
1106,3157,3146,6313
1107,2309,480,4923
1108,4016,1233,5740
1109,3721,4535,6623
1110,6,7051,7075
1111,7074,6,7075
1112,3565,1056,6614
1113,5783,6882,6994
1114,1308,7079,7092
1115,3753,3756,5933
1116,2305,437,2319
1117,2227,361,2247
1118,4882,2184,6097
1119,3158,3178,4374
1120,4275,6589,6714
1121,667,5095,6200
1122,1753,4716,6003
1123,1567,38,1629
1124,1265,1213,3938
1125,3269,3267,5322
1126,5091,2729,7065
1127,1169,1166,6517
1128,753,721,2846
1129,3713,3676,5552
1130,5345,960,5346
1131,2211,2200,4892
1132,645,2643,5055
1133,161,1831,4160
1134,1772,4734,6018
1135,145,1813,1821
1136,872,1461,3116
1137,4256,525,5805
1138,2760,2808,5105
1139,3509,5452,5469
1140,2509,3389,6357
1141,2024,1968,6070
1142,146,1714,1755
1143,1633,1646,4133
1144,1386,2093,2901
1145,221,1916,1924
1146,2793,2766,5120
1147,78,1639,4137
1148,208,1893,4165
1149,1893,208,4768
1150,1703,4691,4692
1151,1703,4692,4694
1152,312,2170,4875
1153,2521,2579,2580
1154,2718,654,5078
1155,2878,775,2879
1156,80,1641,4685
1157,863,3120,5257
1158,956,954,4423
1159,3953,3942,6537
1160,5898,3551,6614
1161,516,543,2488
1162,566,2638,6183
1163,4175,1896,4781
1164,1102,5536,6839
1165,317,2124,2125
1166,2016,1983,4802
1167,1176,5615,6493
1168,3929,3950,6398
1169,3376,3375,6363
1170,2032,247,2033
1171,2481,505,3900
1172,1463,2403,2700
1173,2693,5060,6197
1174,2320,434,2338
1175,90,1661,1662
1176,1698,4691,4693
1177,1208,1206,6865
1178,5444,1037,5457
1179,100,96,1643
1180,3950,1378,4332
1181,3623,5518,5530
1182,1450,5414,6117
1183,1464,4940,5713
1184,3542,1048,6416
1185,3504,4454,4458
1186,4760,4759,6030
1187,3765,1151,4545
1188,1261,1481,5194
1189,2624,5045,5049
1190,4425,3370,5377
1191,522,2488,2510
1192,1258,1483,7074
1193,5099,6206,7233
1194,6206,6203,7233
1195,802,5185,5839
1196,5535,1102,6457
1197,2995,1273,3636
1198,754,753,5179
1199,341,6680,6921
1200,3427,5407,5885
1201,477,5695,6531
1202,131,1776,1778
1203,131,1778,1780
1204,585,5038,5041
1205,2875,809,2876
1206,60,1629,1669
1207,4691,134,4692
1208,3195,3190,5296
1209,3142,3125,5258
1210,1507,0,4110
1211,5172,5826,6243
1212,1715,1686,1721
1213,771,2944,2945
1214,11,28,1536
1215,1536,28,1539
1216,116,1726,4702
1217,2619,555,6190
1218,636,2731,5092
1219,524,6748,6950
1220,3240,3250,4396
1221,286,2071,2101
1222,2071,286,4197
1223,1388,1871,2734
1224,848,3051,4360
1225,6585,1794,6886
1226,404,2255,4906
1227,561,2479,2550
1228,3322,5345,5346
1229,3058,851,6262
1230,4840,5684,6076
1231,2053,311,2091
1232,267,299,2021
1233,4989,549,5002
1234,1233,1243,4609
1235,1233,4609,5740
1236,3959,1464,5713
1237,206,203,217
1238,217,203,1878
1239,1505,2924,6240
1240,4127,6641,7003
1241,4770,1892,6035
1242,87,1625,1650
1243,4350,806,6284
1244,3896,3895,5677
1245,642,2743,2744
1246,51,45,1608
1247,2925,5165,6232
1248,42,1561,5989
1249,1388,1886,4777
1250,3266,3265,7042
1251,6510,1165,6653
1252,3383,3406,3407
1253,1213,1201,3938
1254,5844,807,6278
1255,779,2994,3028
1256,3059,4360,5847
1257,2479,2470,2480
1258,2071,292,2100
1259,335,2099,4872
1260,3303,936,3314
1261,2999,2998,5202
1262,1184,1181,3873
1263,2583,546,4261
1264,391,393,2199
1265,1488,391,2199
1266,6330,3296,6331
1267,4531,4536,6983
1268,3384,4429,5383
1269,2316,436,2340
1270,1315,414,4939
1271,7033,6953,7068
1272,3035,1358,3999
1273,3724,1136,3742
1274,222,1925,1962
1275,2868,2871,5151
1276,2427,505,2453
1277,1760,179,4772
1278,2944,770,2945
1279,2093,707,6229
1280,482,6693,6927
1281,5722,5696,6532
1282,2625,591,2641
1283,1499,1496,2920
1284,518,3979,4325
1285,4711,140,5779
1286,3100,3096,5248
1287,1574,38,4615
1288,1542,1547,4634
1289,4333,1542,4634
1290,1469,1479,5653
1291,4599,1187,5725
1292,500,470,514
1293,3413,3407,5394
1294,3791,3792,5937
1295,1456,1212,3933
1296,999,3453,4451
1297,4244,486,4969
1298,2002,1423,6057
1299,3110,858,6603
1300,6384,5425,6401
1301,342,1264,2058
1302,425,398,1419
1303,783,785,7097
1304,2432,4969,6133
1305,3775,194,6656
1306,4,12,1520
1307,4,1520,1528
1308,3464,3457,5424
